Loop 1:	FinalProfit is 157150
Loop 2:	FinalProfit is 253250
Loop 3:	FinalProfit is 295060
Loop 4:	FinalProfit is 293440
Loop 5:	FinalProfit is 299740
Loop 6:	FinalProfit is 297940
Loop 7:	FinalProfit is 299140
Loop 8:	FinalProfit is 300490
Loop 9:	FinalProfit is 300190
Loop 10:	FinalProfit is 301690
Loop 11:	FinalProfit is 298390
Loop 12:	FinalProfit is 298240
Loop 13:	FinalProfit is 298690
Loop 14:	FinalProfit is 297640
Loop 15:	FinalProfit is 295690
Loop 16:	FinalProfit is 300340
Loop 17:	FinalProfit is 302440
Loop 18:	FinalProfit is 301690
Loop 19:	FinalProfit is 299140
Loop 20:	FinalProfit is 296740
Loop 21:	FinalProfit is 296290
Loop 22:	FinalProfit is 295240
Loop 23:	FinalProfit is 299290
Loop 24:	FinalProfit is 298540
Loop 25:	FinalProfit is 296440
